time,airTemperature.noaa,airTemperature.sg
2021-09-23T00:00:00+00:00,28.42,28.42
2021-09-23T01:00:00+00:00,28.25,28.25
2021-09-23T02:00:00+00:00,28.08,28.08
2021-09-23T03:00:00+00:00,27.91,27.91
2021-09-23T04:00:00+00:00,27.56,27.56
2021-09-23T05:00:00+00:00,27.21,27.21
2021-09-23T06:00:00+00:00,26.86,26.86
2021-09-23T07:00:00+00:00,26.79,26.79
2021-09-23T08:00:00+00:00,26.72,26.72
2021-09-23T09:00:00+00:00,26.65,26.65
2021-09-23T10:00:00+00:00,26.58,26.58
2021-09-23T11:00:00+00:00,26.52,26.52
2021-09-23T12:00:00+00:00,26.45,26.45
2021-09-23T13:00:00+00:00,27.19,27.19
2021-09-23T14:00:00+00:00,27.93,27.93
2021-09-23T15:00:00+00:00,28.67,28.67
2021-09-23T16:00:00+00:00,28.91,28.91
2021-09-23T17:00:00+00:00,29.15,29.15
2021-09-23T18:00:00+00:00,29.39,29.39
2021-09-23T19:00:00+00:00,29.42,29.42
2021-09-23T20:00:00+00:00,29.45,29.45
2021-09-23T21:00:00+00:00,29.48,29.48
2021-09-23T22:00:00+00:00,29.17,29.17
2021-09-23T23:00:00+00:00,28.85,28.85
2021-09-24T00:00:00+00:00,28.53,28.53
2021-09-24T01:00:00+00:00,28.36,28.36
2021-09-24T02:00:00+00:00,28.19,28.19
2021-09-24T03:00:00+00:00,28.02,28.02
2021-09-24T04:00:00+00:00,27.37,27.37
2021-09-24T05:00:00+00:00,26.72,26.72
2021-09-24T06:00:00+00:00,26.07,26.07
2021-09-24T07:00:00+00:00,25.69,25.69
2021-09-24T08:00:00+00:00,25.32,25.32
2021-09-24T09:00:00+00:00,24.95,24.95
2021-09-24T10:00:00+00:00,25.33,25.33
2021-09-24T11:00:00+00:00,25.71,25.71
2021-09-24T12:00:00+00:00,26.09,26.09
2021-09-24T13:00:00+00:00,27.06,27.06
2021-09-24T14:00:00+00:00,28.03,28.03
2021-09-24T15:00:00+00:00,29.0,29.0
2021-09-24T16:00:00+00:00,29.37,29.37
2021-09-24T17:00:00+00:00,29.74,29.74
2021-09-24T18:00:00+00:00,30.1,30.1
2021-09-24T19:00:00+00:00,29.92,29.92
2021-09-24T20:00:00+00:00,29.74,29.74
2021-09-24T21:00:00+00:00,29.56,29.56
2021-09-24T22:00:00+00:00,29.22,29.22
2021-09-24T23:00:00+00:00,28.89,28.89
2021-09-25T00:00:00+00:00,28.55,28.55
2021-09-25T01:00:00+00:00,28.3,28.3
2021-09-25T02:00:00+00:00,28.05,28.05
2021-09-25T03:00:00+00:00,27.81,27.81
2021-09-25T04:00:00+00:00,27.59,27.59
2021-09-25T05:00:00+00:00,27.37,27.37
2021-09-25T06:00:00+00:00,27.15,27.15
2021-09-25T07:00:00+00:00,26.69,26.69
2021-09-25T08:00:00+00:00,26.22,26.22
2021-09-25T09:00:00+00:00,25.75,25.75
2021-09-25T10:00:00+00:00,25.9,25.9
2021-09-25T11:00:00+00:00,26.06,26.06
2021-09-25T12:00:00+00:00,26.21,26.21
2021-09-25T13:00:00+00:00,27.19,27.19
2021-09-25T14:00:00+00:00,28.16,28.16
2021-09-25T15:00:00+00:00,29.13,29.13
2021-09-25T16:00:00+00:00,29.43,29.43
2021-09-25T17:00:00+00:00,29.73,29.73
2021-09-25T18:00:00+00:00,30.03,30.03
2021-09-25T19:00:00+00:00,29.97,29.97
2021-09-25T20:00:00+00:00,29.91,29.91
2021-09-25T21:00:00+00:00,29.85,29.85
2021-09-25T22:00:00+00:00,29.85,29.85
2021-09-25T23:00:00+00:00,29.86,29.86
2021-09-26T00:00:00+00:00,29.86,29.86
2021-09-26T01:00:00+00:00,29.12,29.12
2021-09-26T02:00:00+00:00,28.37,28.37
2021-09-26T03:00:00+00:00,27.62,27.62
2021-09-26T04:00:00+00:00,27.57,27.57
2021-09-26T05:00:00+00:00,27.52,27.52
2021-09-26T06:00:00+00:00,27.46,27.46
2021-09-26T07:00:00+00:00,26.94,26.94
2021-09-26T08:00:00+00:00,26.41,26.41
2021-09-26T09:00:00+00:00,25.88,25.88
2021-09-26T10:00:00+00:00,26.15,26.15
2021-09-26T11:00:00+00:00,26.42,26.42
2021-09-26T12:00:00+00:00,26.69,26.69
2021-09-26T13:00:00+00:00,27.35,27.35
2021-09-26T14:00:00+00:00,28.01,28.01
2021-09-26T15:00:00+00:00,28.67,28.67
2021-09-26T16:00:00+00:00,29.03,29.03
2021-09-26T17:00:00+00:00,29.4,29.4
2021-09-26T18:00:00+00:00,29.76,29.76
2021-09-26T19:00:00+00:00,29.66,29.66
2021-09-26T20:00:00+00:00,29.57,29.57
2021-09-26T21:00:00+00:00,29.47,29.47
2021-09-26T22:00:00+00:00,29.62,29.62
2021-09-26T23:00:00+00:00,29.76,29.76
2021-09-27T00:00:00+00:00,29.91,29.91
2021-09-27T01:00:00+00:00,28.89,28.89
2021-09-27T02:00:00+00:00,27.86,27.86
2021-09-27T03:00:00+00:00,26.84,26.84
2021-09-27T04:00:00+00:00,26.42,26.42
2021-09-27T05:00:00+00:00,26.01,26.01
2021-09-27T06:00:00+00:00,25.59,25.59
2021-09-27T07:00:00+00:00,25.32,25.32
2021-09-27T08:00:00+00:00,25.05,25.05
2021-09-27T09:00:00+00:00,24.78,24.78
2021-09-27T10:00:00+00:00,24.61,24.61
2021-09-27T11:00:00+00:00,24.45,24.45
2021-09-27T12:00:00+00:00,24.28,24.28
2021-09-27T13:00:00+00:00,25.28,25.28
2021-09-27T14:00:00+00:00,26.28,26.28
2021-09-27T15:00:00+00:00,27.28,27.28
2021-09-27T16:00:00+00:00,28.16,28.16
2021-09-27T17:00:00+00:00,29.04,29.04
2021-09-27T18:00:00+00:00,29.92,29.92
2021-09-27T19:00:00+00:00,30.13,30.13
2021-09-27T20:00:00+00:00,30.35,30.35
2021-09-27T21:00:00+00:00,30.56,30.56
2021-09-27T22:00:00+00:00,29.91,29.91
2021-09-27T23:00:00+00:00,29.26,29.26
2021-09-28T00:00:00+00:00,28.6,28.6
2021-09-28T01:00:00+00:00,27.75,27.75
2021-09-28T02:00:00+00:00,26.9,26.9
2021-09-28T03:00:00+00:00,26.05,26.05
2021-09-28T04:00:00+00:00,25.64,25.64
2021-09-28T05:00:00+00:00,25.24,25.24
2021-09-28T06:00:00+00:00,24.83,24.83
2021-09-28T07:00:00+00:00,24.54,24.54
2021-09-28T08:00:00+00:00,24.26,24.26
2021-09-28T09:00:00+00:00,23.97,23.97
2021-09-28T10:00:00+00:00,23.81,23.81
2021-09-28T11:00:00+00:00,23.64,23.64
2021-09-28T12:00:00+00:00,23.48,23.48
2021-09-28T13:00:00+00:00,24.73,24.73
2021-09-28T14:00:00+00:00,25.98,25.98
2021-09-28T15:00:00+00:00,27.23,27.23
2021-09-28T16:00:00+00:00,28.3,28.3
2021-09-28T17:00:00+00:00,29.38,29.38
2021-09-28T18:00:00+00:00,30.45,30.45
2021-09-28T19:00:00+00:00,30.38,30.38
2021-09-28T20:00:00+00:00,30.3,30.3
2021-09-28T21:00:00+00:00,30.23,30.23
2021-09-28T22:00:00+00:00,29.56,29.56
2021-09-28T23:00:00+00:00,28.89,28.89
2021-09-29T00:00:00+00:00,28.22,28.22
2021-09-29T01:00:00+00:00,27.59,27.59
2021-09-29T02:00:00+00:00,26.96,26.96
2021-09-29T03:00:00+00:00,26.33,26.33
2021-09-29T04:00:00+00:00,25.97,25.97
2021-09-29T05:00:00+00:00,25.62,25.62
2021-09-29T06:00:00+00:00,25.27,25.27
2021-09-29T07:00:00+00:00,24.92,24.92
2021-09-29T08:00:00+00:00,24.57,24.57
2021-09-29T09:00:00+00:00,24.23,24.23
2021-09-29T10:00:00+00:00,23.96,23.96
2021-09-29T11:00:00+00:00,23.69,23.69
2021-09-29T12:00:00+00:00,23.42,23.42
2021-09-29T13:00:00+00:00,24.54,24.54
2021-09-29T14:00:00+00:00,25.66,25.66
2021-09-29T15:00:00+00:00,26.78,26.78
2021-09-29T16:00:00+00:00,27.73,27.73
2021-09-29T17:00:00+00:00,28.68,28.68
2021-09-29T18:00:00+00:00,29.62,29.62
2021-09-29T19:00:00+00:00,29.79,29.79
2021-09-29T20:00:00+00:00,29.96,29.96
2021-09-29T21:00:00+00:00,30.12,30.12
2021-09-29T22:00:00+00:00,29.66,29.66
2021-09-29T23:00:00+00:00,29.19,29.19
2021-09-30T00:00:00+00:00,28.73,28.73
